"fy_ef","organization_id","organization","core_responsibility","program_id","program_name","planned_spending_1","actual_spending","planned_spending_2","planned_spending_3","planned_ftes_1","actual_ftes","planned_ftes_2","planned_ftes_3","planning_explanation","variance_explanation"
"2022-2023",133,"Department of National Defence","Future Force Design","BUQ01","Joint Force Development",30585419.00,41748457.50,30973396.00,31430259.00,125.00,158.00,126.00,126.00,,
"2022-2023",133,"Department of National Defence","Future Force Design","BUQ02","Naval Force Development",65438238.00,40098649.04,66581423.00,67292740.00,116.00,157.00,116.00,117.00,,
"2022-2023",133,"Department of National Defence","Future Force Design","BUQ03","Land Force Development",88684782.00,31028315.76,87432788.00,85505181.00,5.00,6.00,5.00,5.00,,
"2022-2023",133,"Department of National Defence","Future Force Design","BUQ04","Air and Space Force Development",92330148.00,96895121.39,92897269.00,92338805.00,89.00,107.00,89.00,89.00,,
"2022-2023",133,"Department of National Defence","Future Force Design","BUQ05","Special Operations Force Development",57227413.00,22070749.63,58482280.00,58537554.00,0.00,0.00,0.00,0.00,,
"2022-2023",133,"Department of National Defence","Future Force Design","BUQ06","Cyber and Joint Communication Information Systems (CIS) Force Development",28486042.00,46968404.54,29444541.00,29940356.00,125.00,140.00,124.00,124.00,,
"2022-2023",133,"Department of National Defence","Future Force Design","BUQ07","Intelligence Force Development",61869394.00,132200162.29,61043567.00,59557789.00,17.00,15.00,17.00,17.00,,
"2022-2023",133,"Department of National Defence","Future Force Design","BUQ08","Science, Technology and Innovation",396033530.00,424350281.87,391905155.00,396492827.00,1437.00,1481.00,1410.00,1407.00,,
"2022-2023",133,"Department of National Defence","Procurement of Capabilities","BUR01","Maritime Equipment Acquisition",2710493212.00,2035645949.30,2467733905.00,2256032886.00,373.00,451.00,372.00,374.00,,
"2022-2023",133,"Department of National Defence","Procurement of Capabilities","BUR02","Land Equipment Acquisition",929188374.00,513297277.04,1514227902.00,797648932.00,607.00,552.00,608.00,610.00,,
"2022-2023",133,"Department of National Defence","Procurement of Capabilities","BUR03","Aerospace Equipment Acquisition",768802235.00,945443675.08,760446533.00,475363506.00,282.00,467.00,280.00,281.00,,
"2022-2023",133,"Department of National Defence","Procurement of Capabilities","BUR04","Defence Information Technology Systems Acquisition, Design and Delivery",261761123.00,258985841.96,263241183.00,242816484.00,363.00,347.00,361.00,364.00,,
"2022-2023",133,"Department of National Defence","Procurement of Capabilities","BUR05","Defence Materiel Management",121768063.00,106887678.88,122233422.00,122925742.00,804.00,522.00,798.00,798.00,,
"2022-2023",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS01","Defence Infrastructure Program Management",98527029.00,97710741.77,101883616.00,103885555.00,146.00,175.00,147.00,148.00,,
"2022-2023",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS02","Defence Infrastructure Construction, Recapitalization and Investment",694580206.00,721511358.51,573707447.00,528623041.00,62.00,63.00,61.00,62.00,,
"2022-2023",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS03","Defence Infrastructure Maintenance, Support and Operations",1175591388.00,1198975523.42,1238478008.00,1273191139.00,2691.00,2747.00,2655.00,2663.00,,
"2022-2023",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS04","Defence Residential Housing Program",55556772.00,72851586.68,60342090.00,62032465.00,299.00,315.00,296.00,298.00,,
"2022-2023",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS05","Defence Information Systems, Services and Programme Management",262371803.00,307582813.66,280291708.00,252813206.00,512.00,589.00,513.00,516.00,,
"2022-2023",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS06","Environmental Sustainability and Protection",108189688.00,96423579.46,122612996.00,143425630.00,49.00,52.00,49.00,49.00,,
"2022-2023",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS07","Indigenous Affairs",5559480.00,4970441.20,5768920.00,5830578.00,18.00,21.00,18.00,18.00,,
"2022-2023",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS08","Naval Bases",281287387.00,269287485.49,279292207.00,280821037.00,2230.00,2138.00,2219.00,2225.00,,
"2022-2023",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS09","Land Bases",578448181.00,505514840.36,578657325.00,583556650.00,4029.00,3888.00,4020.00,4032.00,,
"2022-2023",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS10","Air and Space Wings",529306256.00,484979353.61,528266992.00,534207590.00,3027.00,3025.00,3013.00,3020.00,,
"2022-2023",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS11","Joint, Common and International Bases",184469320.00,192380018.14,183841565.00,185195253.00,1280.00,1385.00,1280.00,1284.00,,
"2022-2023",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS12","Military Police Institutional Operations",151078722.00,139911196.41,147927429.00,148915468.00,1155.00,1184.00,1156.00,1160.00,,
"2022-2023",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS13","Safety",4685267.00,5156161.35,4774848.00,4847972.00,28.00,32.00,28.00,28.00,,
"2022-2023",133,"Department of National Defence","Internal Services","ISS01","Management and Oversight Services",123427640.00,147133981.42,122352814.00,122192196.00,1056.00,1134.00,1053.00,1059.00,,
"2022-2023",133,"Department of National Defence","Internal Services","ISS02","Communications Services",29121730.00,30788231.37,29049111.00,29225366.00,206.00,232.00,203.00,203.00,,
"2022-2023",133,"Department of National Defence","Internal Services","ISS03","Legal Services",418288174.00,497908748.24,52649442.00,54585118.00,29.00,28.00,30.00,31.00,,
"2022-2023",133,"Department of National Defence","Internal Services","ISS04","Human Resources Management Services",109363400.00,123318382.07,109112752.00,108921303.00,1007.00,1083.00,1015.00,1019.00,,
"2022-2023",133,"Department of National Defence","Internal Services","ISS05","Financial Management Services",40490768.00,111373414.39,40557166.00,40589103.00,477.00,543.00,479.00,481.00,,
"2022-2023",133,"Department of National Defence","Internal Services","ISS06","Information Management Services",23745497.00,38893860.82,24390615.00,24880104.00,143.00,177.00,141.00,141.00,,
"2022-2023",133,"Department of National Defence","Internal Services","ISS07","Information Technology Services",294380944.00,278229133.07,307265228.00,314175783.00,811.00,857.00,809.00,814.00,,
"2022-2023",133,"Department of National Defence","Internal Services","ISS08","Real Property Management Services",115189582.00,106140334.92,122863771.00,127112670.00,99.00,90.00,98.00,98.00,,
"2022-2023",133,"Department of National Defence","Internal Services","ISS09","Materiel Management Services",48613633.00,54291825.49,49366894.00,49617553.00,290.00,338.00,283.00,284.00,,
"2022-2023",133,"Department of National Defence","Internal Services","ISS0Z","Acquisition Management Services",17744256.00,18410580.73,17714036.00,17697408.00,166.00,174.00,166.00,166.00,,
"2022-2023",134,"Department of Natural Resources","Natural Resource Science and Risk Mitigation","BTL01","Canadian Geodetic Survey: Spatially Enabling Canada",6589650.00,6477500.98,6643363.00,6691763.00,45.00,36.03,47.00,47.00,,"Spending: No variance explanation required. 
The decrease in FTEs is primarily due to staffing delays and attrition."
